date,expected_candles,actual_candles,missing_candles,duplicate_candles,quality_status
2026-08-10,69,75,0,74,GOOD
2026-08-11,69,75,0,74,GOOD
2026-08-12,69,75,0,74,GOOD
2026-08-13,69,75,0,74,GOOD
2026-08-14,69,75,0,74,GOOD
2026-08-17,69,75,0,74,GOOD
2026-08-18,69,75,0,74,GOOD
2026-08-19,69,75,0,74,GOOD
2026-08-20,69,75,0,74,GOOD
2026-08-21,69,75,0,74,GOOD
2026-08-24,69,75,0,74,GOOD
2026-08-25,69,75,0,74,GOOD
2026-08-26,69,75,0,74,GOOD
2026-08-27,69,75,0,74,GOOD
2026-08-28,69,75,0,74,GOOD
2026-08-31,69,75,0,74,GOOD
2026-09-01,69,75,0,74,GOOD
2026-09-02,69,75,0,74,GOOD
2026-09-03,69,75,0,74,GOOD
2026-09-04,69,75,0,74,GOOD
2026-09-07,69,75,0,74,GOOD
2026-09-08,69,75,0,74,GOOD
2026-09-09,69,75,0,74,GOOD
2026-09-10,69,75,0,74,GOOD
2026-09-11,69,75,0,74,GOOD
2026-09-14,69,0,69,0,NO_DATA
2026-09-15,69,0,69,0,NO_DATA
