trade_id,timestamp,entry_price,exit_price,exit_reason,outcome,pnl,stop,target,strategy,signal,direction
PT-20260917145413-9E0068,2026-08-10 05:30:00,24600.75,24556.25,STOP_LOSS,STOPPED,-890.0,24563.810123697916,24969.761249999996,,BULLISH,BULLISH
PT-20260917145413-403E3D,2026-08-10 05:35:00,24591.30078125,24556.25,STOP_LOSS,STOPPED,-701.015625,24565.129296875,24960.17029296875,,BULLISH,BULLISH
PT-20260917145413-B18F63,2026-08-10 05:40:00,24602.349609375,24556.25,STOP_LOSS,STOPPED,-921.9921875,24567.837597656246,24971.38485351562,,BULLISH,BULLISH
PT-20260917145413-2CAFF9,2026-08-10 05:45:00,24601.599609375,24556.25,STOP_LOSS,STOPPED,-906.9921875,24571.552571614586,24970.62360351562,,BULLISH,BULLISH
PT-20260917145413-DBEC35,2026-08-10 05:50:00,24601.150390625,24573.55078125,STOP_LOSS,STOPPED,-551.9921875,24575.57841796875,24970.167646484373,,BULLISH,BULLISH
PT-20260917145413-DAD141,2026-08-10 05:55:00,24603.900390625,24579.25,STOP_LOSS,STOPPED,-493.0078125,24579.40673828125,24972.95889648437,,BULLISH,BULLISH
PT-20260917145413-462788,2026-08-10 06:05:00,24595.55078125,24583.150390625,STOP_LOSS,STOPPED,-248.0078125,24585.335904947915,24964.484042968747,,BULLISH,BULLISH
PT-20260917145413-A3D4E6,2026-08-10 06:30:00,24594.19921875,24593.94921875,STOP_LOSS,STOPPED,-5.0,24594.23251953125,24963.11220703125,,BULLISH,BULLISH
PT-20260917145413-A334E4,2026-08-10 06:35:00,24593.94921875,24591.05078125,STOP_LOSS,STOPPED,-57.96875,24594.37916666667,24962.85845703125,,BULLISH,BULLISH
PT-20260917145414-4A3198,2026-08-10 06:40:00,24606.80078125,24591.05078125,STOP_LOSS,STOPPED,-315.0,24594.9841796875,24975.902792968747,,BULLISH,BULLISH
PT-20260917145414-88240F,2026-08-10 06:45:00,24608.0,24591.05078125,STOP_LOSS,STOPPED,-338.984375,24595.935026041665,24977.12,,BULLISH,BULLISH
PT-20260917145414-9B6963,2026-08-10 06:50:00,24602.0,24596.099609375,STOP_LOSS,STOPPED,-118.0078125,24596.19085286458,24971.03,,BULLISH,BULLISH
PT-20260917145414-21FC7B,2026-08-10 06:55:00,24610.599609375,24596.099609375,STOP_LOSS,STOPPED,-290.0,24596.408333333333,24979.758603515624,,BULLISH,BULLISH
PT-20260917145414-E04634,2026-08-10 07:00:00,24609.30078125,24596.099609375,STOP_LOSS,STOPPED,-264.0234375,24597.317513020833,24978.440292968746,,BULLISH,BULLISH
PT-20260917145414-25D136,2026-08-10 07:05:00,24612.5,24598.25,STOP_LOSS,STOPPED,-285.0,24598.39085286458,24981.687499999996,,BULLISH,BULLISH
PT-20260917145414-113AE6,2026-08-10 07:35:00,24579.25,24573.55078125,TARGET_HIT,TARGET_HIT,113.984375,24596.369986979167,24210.56125,,BEARISH,BEARISH
PT-20260917145414-48E373,2026-08-10 07:40:00,24573.55078125,24586.849609375,TARGET_HIT,TARGET_HIT,-265.9765625,24595.634993489584,24204.947519531248,,BEARISH,BEARISH
PT-20260917145414-4D68FE,2026-08-10 07:45:00,24586.849609375,24585.599609375,TARGET_HIT,TARGET_HIT,25.0,24595.189127604168,24218.046865234373,,BEARISH,BEARISH
PT-20260917145414-70E679,2026-08-10 08:10:00,24606.349609375,24591.849609375,STOP_LOSS,STOPPED,-290.0,24596.479166666668,24975.444853515623,,BULLISH,BULLISH
PT-20260917145414-036E9F,2026-08-10 08:15:00,24604.599609375,24591.849609375,STOP_LOSS,STOPPED,-255.0,24597.012500000004,24973.668603515624,,BULLISH,BULLISH
PT-20260917145414-61A9FF,2026-08-10 08:20:00,24605.400390625,24591.849609375,STOP_LOSS,STOPPED,-271.015625,24597.13746744792,24974.481396484374,,BULLISH,BULLISH
PT-20260917145414-F3CDD7,2026-08-10 08:35:00,24597.849609375,24587.55078125,STOP_LOSS,STOPPED,-205.9765625,24595.08994140625,24966.817353515624,,BULLISH,BULLISH
PT-20260917145414-EFC4F6,2026-08-10 09:00:00,24582.44921875,24573.94921875,TARGET_HIT,TARGET_HIT,170.0,24591.283300781248,24213.71248046875,,BEARISH,BEARISH
PT-20260917145414-555137,2026-08-10 09:05:00,24573.94921875,24572.5,TARGET_HIT,TARGET_HIT,28.984375,24590.610774739584,24205.33998046875,,BEARISH,BEARISH
PT-20260917145414-CE5B4A,2026-08-10 09:10:00,24572.5,24556.25,TARGET_HIT,TARGET_HIT,325.0,24589.891634114585,24203.9125,,BEARISH,BEARISH
PT-20260917145414-65DFE8,2026-08-10 09:15:00,24556.25,24558.94921875,TARGET_HIT,TARGET_HIT,-53.984375,24588.71748046875,24187.90625,,BEARISH,BEARISH
