URL,Type,Status,Notes
/,internal,200,HTTP 200
/today/,internal,200,HTTP 200
/today/index.html,internal,200,HTTP 200
/market.html,internal,200,HTTP 200
/indices/nifty.html,internal,200,HTTP 200
/indices/banknifty.html,internal,200,HTTP 200
/indices/sensex.html,internal,200,HTTP 200
/indices/finnifty.html,internal,200,HTTP 200
/options/pcr.html,internal,200,HTTP 200
/options/pcr,internal,200,HTTP 200
/strategies.html,internal,200,HTTP 200
/strategy-builder.html,internal,200,HTTP 200
/tools/backtest.html,internal,200,HTTP 200
/tools/position-size.html,internal,200,HTTP 200
/tools/walkforward.html,internal,200,HTTP 200
/tools/intelligence.html,internal,200,HTTP 200
/tools/journal.html,internal,200,HTTP 200
/about.html,internal,200,HTTP 200
/contact.html,internal,200,HTTP 200
/privacy.html,internal,200,HTTP 200
/terms.html,internal,200,HTTP 200
/disclaimer.html,internal,200,HTTP 200
/sitemap.xml,internal,200,HTTP 200
/robots.txt,internal,200,HTTP 200
/learn/,internal,200,HTTP 200
/learn/option-greeks.html,internal,200,HTTP 200
/etfs/top-etfs.html,internal,200,HTTP 200
/mutual-funds/,internal,200,HTTP 200
/scanner.html,internal,200,HTTP 200
/market.html,internal,200,HTTP 200
https://www.googletagmanager.com,external,404,HTTP 404
https://pagead2.googlesyndication.com,external,404,HTTP 404
https://www.google.com,external,200,HTTP 200
https://pagead2.googleadservices.com,external,302,HTTP 302
