day,replay_timestamp,candles_processed,snapshots_generated,evidence_generated,market_states,scenarios,qualifications,lookahead_violations,errors,status
1,2026-08-20,75,0,0,0,0,0,0,0,REPLAYING
2,2026-08-21,75,0,0,0,0,0,0,0,REPLAYING
3,2026-08-24,75,0,0,0,0,0,0,0,REPLAYING
4,2026-08-25,75,0,0,0,0,0,0,0,REPLAYING
5,2026-08-26,75,0,0,0,0,0,0,0,REPLAYING
6,2026-08-27,75,0,0,0,0,0,0,0,REPLAYING
7,2026-08-28,75,0,0,0,0,0,0,0,REPLAYING
8,2026-08-31,75,0,0,0,0,0,0,0,REPLAYING
9,2026-09-01,75,0,0,0,0,0,0,0,REPLAYING
10,2026-09-02,75,0,0,0,0,0,0,0,REPLAYING
11,2026-09-03,75,0,0,0,0,0,0,0,REPLAYING
12,2026-09-04,75,0,0,0,0,0,0,0,REPLAYING
13,2026-09-07,75,0,0,0,0,0,0,0,REPLAYING
14,2026-09-08,75,0,0,0,0,0,0,0,REPLAYING
15,2026-09-09,75,0,0,0,0,0,0,0,REPLAYING
16,2026-09-10,75,0,0,0,0,0,0,0,REPLAYING
17,2026-09-11,75,0,0,0,0,0,0,0,REPLAYING
18,2026-09-14,75,0,0,0,0,0,0,0,REPLAYING
19,2026-09-15,75,0,0,0,0,0,0,0,REPLAYING
20,2026-09-16,75,0,0,0,0,0,0,0,REPLAYING
21,2026-09-17,75,0,0,0,0,0,0,0,REPLAYING
22,2026-09-18,75,0,0,0,0,0,0,0,COMPLETE
