timestamp,checkpoint,instrument,metric,value
2026-09-18T09:33:45,09:33,NIFTY,session_state,OPEN
2026-09-18T09:33:45,09:33,NIFTY,data_state,LIVE
2026-09-18T09:33:45,09:33,NIFTY,api_market,200
2026-09-18T09:33:45,09:33,NIFTY,api_price,200
2026-09-18T09:33:45,09:33,NIFTY,api_market_outlook,200
2026-09-18T09:33:45,09:33,NIFTY,api_key_levels,200
2026-09-18T09:33:45,09:33,NIFTY,api_options_state,200
2026-09-18T09:33:45,09:33,NIFTY,api_market_evidence,200
2026-09-18T09:33:45,09:33,NIFTY,api_strategy,200
2026-09-18T09:33:45,09:33,NIFTY,api_risk,200
2026-09-18T09:33:45,09:33,NIFTY,api_intraday_conditions,200
2026-09-18T09:33:45,09:33,NIFTY,1m_timestamp,2026-09-18 04:03:00
2026-09-18T09:33:45,09:33,NIFTY,1m_status,FRESH
2026-09-18T09:33:45,09:33,NIFTY,5m_timestamp,2026-09-17T22:30:00+00:00
2026-09-18T09:33:45,09:33,NIFTY,5m_status,COMPLETED_FIRST_CANDLE
2026-09-18T09:33:45,09:33,NIFTY,paper_trades_active,2
2026-09-18T09:33:45,09:33,NIFTY,qualification_status,200
2026-09-18T09:33:45,09:33,NIFTY,qualification_result,NO_TRADE
2026-09-18T09:33:45,09:33,BANKNIFTY,all_apis,200
2026-09-18T09:33:45,09:33,BANKNIFTY,1m_timestamp,2026-09-18 04:03:00
2026-09-18T09:33:45,09:33,BANKNIFTY,1m_status,FRESH
2026-09-18T09:33:45,09:33,BANKNIFTY,5m_timestamp,2026-09-17T22:25:00+00:00
2026-09-18T09:33:45,09:33,BANKNIFTY,5m_status,COMPLETED_FIRST_CANDLE
2026-09-18T09:33:45,09:33,SYSTEM,paper_trades_total,1188
2026-09-18T09:33:45,09:33,SYSTEM,paper_trades_no_duplicates,YES
2026-09-18T09:33:45,09:33,SYSTEM,research_data_health,3
2026-09-18T09:33:45,09:33,SYSTEM,research_manifest,1
2026-09-18T09:33:45,09:33,SYSTEM,research_setup_identity,0
2026-09-18T09:33:45,09:33,SYSTEM,research_ai_call_log,0
2026-09-18T09:33:45,09:33,SYSTEM,research_outcome_tracking,0
2026-09-18T09:33:45,09:33,SYSTEM,aggregate_5m_ran,YES (47 symbols, 9329 bars at 09:30)
2026-09-18T09:33:45,09:33,SYSTEM,data_fetcher_ran,YES (every minute from 09:00)
