timestamp,checkpoint,metric,value
2026-09-18T08:39:31,BASELINE,vm_time,2026-09-18 08:39:31 IST
2026-09-18T08:39:31,BASELINE,hostname,webserver
2026-09-18T08:39:31,BASELINE,uptime,9 days 14:16
2026-09-18T08:39:31,BASELINE,ram_total,956Mi
2026-09-18T08:39:31,BASELINE,ram_used,227Mi
2026-09-18T08:39:31,BASELINE,ram_available,595Mi
2026-09-18T08:39:31,BASELINE,cpu_count,2
2026-09-18T08:39:31,BASELINE,cpu_idle,96.9%
2026-09-18T08:39:31,BASELINE,disk_total,45G
2026-09-18T08:39:31,BASELINE,disk_used,16G
2026-09-18T08:39:31,BASELINE,disk_available,30G
2026-09-18T08:39:31,BASELINE,db_size,178M
2026-09-18T08:39:31,BASELINE,nginx_status,active
2026-09-18T08:39:31,BASELINE,gunicorn_workers,4
2026-09-18T08:39:31,BASELINE,tradingapi_status,active
2026-09-18T08:39:31,BASELINE,monitor_status,inactive (oneshot)
2026-09-18T08:39:31,BASELINE,datafetcher_status,inactive (oneshot)
2026-09-18T08:39:31,BASELINE,price_1m_latest,NIFTY=2026-09-18 02:10:00 BANKNIFTY=2026-09-18 02:10:00
2026-09-18T08:39:31,BASELINE,price_5m_latest,2026-09-15 09:55:00 (stale)
2026-09-18T08:39:31,BASELINE,paper_trades,1188
2026-09-18T08:39:31,BASELINE,research_tables,all 0 (pre-market)
2026-09-18T08:39:31,BASELINE,data_status,STALE (yesterday close)
2026-09-18T08:39:31,BASELINE,market_state,PRE_MARKET
