decision_id,instrument,decision_timestamp,input_type,input_timestamp,delta_seconds,pass_fail,notes
1,BANKNIFTY,2026-09-18T04:25:00+00:00,price_1m,2026-09-18 10:29:00,0,PASS,"1m data at 2026-09-18 10:29:00, 5m candle at 2026-09-18T04:25:00+00:00"
1,BANKNIFTY,2026-09-18T04:25:00+00:00,indicators,2026-09-18T04:24:08.108Z,0,PASS,indicators at 2026-09-18T04:24:08.108Z
1,BANKNIFTY,2026-09-18T04:25:00+00:00,market_regime,2026-09-18T04:24:08.108Z,0,PASS,regime at 2026-09-18T04:24:08.108Z
2,NIFTY,2026-09-18T04:25:00+00:00,price_1m,2026-09-18 10:29:00,0,PASS,"1m data at 2026-09-18 10:29:00, 5m candle at 2026-09-18T04:25:00+00:00"
2,NIFTY,2026-09-18T04:25:00+00:00,indicators,2026-09-18T04:24:07.008Z,0,PASS,indicators at 2026-09-18T04:24:07.008Z
2,NIFTY,2026-09-18T04:25:00+00:00,market_regime,2026-09-18T04:24:07.008Z,0,PASS,regime at 2026-09-18T04:24:07.008Z
3,BANKNIFTY,2026-09-18T04:20:00+00:00,price_1m,2026-09-18 10:29:00,0,PASS,"1m data at 2026-09-18 10:29:00, 5m candle at 2026-09-18T04:20:00+00:00"
3,BANKNIFTY,2026-09-18T04:20:00+00:00,indicators,2026-09-18T04:19:05.844Z,0,PASS,indicators at 2026-09-18T04:19:05.844Z
3,BANKNIFTY,2026-09-18T04:20:00+00:00,market_regime,2026-09-18T04:19:05.844Z,0,PASS,regime at 2026-09-18T04:19:05.844Z
4,NIFTY,2026-09-18T04:20:00+00:00,price_1m,2026-09-18 10:29:00,0,PASS,"1m data at 2026-09-18 10:29:00, 5m candle at 2026-09-18T04:20:00+00:00"
4,NIFTY,2026-09-18T04:20:00+00:00,indicators,2026-09-18T04:19:05.122Z,0,PASS,indicators at 2026-09-18T04:19:05.122Z
4,NIFTY,2026-09-18T04:20:00+00:00,market_regime,2026-09-18T04:19:05.122Z,0,PASS,regime at 2026-09-18T04:19:05.122Z
5,BANKNIFTY,2026-09-18T04:15:00+00:00,price_1m,2026-09-18 10:29:00,0,PASS,"1m data at 2026-09-18 10:29:00, 5m candle at 2026-09-18T04:15:00+00:00"
5,BANKNIFTY,2026-09-18T04:15:00+00:00,indicators,2026-09-18T04:14:09.710Z,0,PASS,indicators at 2026-09-18T04:14:09.710Z
5,BANKNIFTY,2026-09-18T04:15:00+00:00,market_regime,2026-09-18T04:14:09.710Z,0,PASS,regime at 2026-09-18T04:14:09.710Z
6,NIFTY,2026-09-18T04:15:00+00:00,price_1m,2026-09-18 10:29:00,0,PASS,"1m data at 2026-09-18 10:29:00, 5m candle at 2026-09-18T04:15:00+00:00"
6,NIFTY,2026-09-18T04:15:00+00:00,indicators,2026-09-18T04:14:08.307Z,0,PASS,indicators at 2026-09-18T04:14:08.307Z
6,NIFTY,2026-09-18T04:15:00+00:00,market_regime,2026-09-18T04:14:08.307Z,0,PASS,regime at 2026-09-18T04:14:08.307Z
7,BANKNIFTY,2026-09-18T04:10:00+00:00,price_1m,2026-09-18 10:29:00,0,PASS,"1m data at 2026-09-18 10:29:00, 5m candle at 2026-09-18T04:10:00+00:00"
7,BANKNIFTY,2026-09-18T04:10:00+00:00,indicators,2026-09-18T04:09:05.944Z,0,PASS,indicators at 2026-09-18T04:09:05.944Z
7,BANKNIFTY,2026-09-18T04:10:00+00:00,market_regime,2026-09-18T04:09:05.944Z,0,PASS,regime at 2026-09-18T04:09:05.944Z
8,NIFTY,2026-09-18T04:10:00+00:00,price_1m,2026-09-18 10:29:00,0,PASS,"1m data at 2026-09-18 10:29:00, 5m candle at 2026-09-18T04:10:00+00:00"
8,NIFTY,2026-09-18T04:10:00+00:00,indicators,2026-09-18T04:09:05.292Z,0,PASS,indicators at 2026-09-18T04:09:05.292Z
8,NIFTY,2026-09-18T04:10:00+00:00,market_regime,2026-09-18T04:09:05.292Z,0,PASS,regime at 2026-09-18T04:09:05.292Z
9,BANKNIFTY,2026-09-18T04:05:00+00:00,price_1m,2026-09-18 10:29:00,0,PASS,"1m data at 2026-09-18 10:29:00, 5m candle at 2026-09-18T04:05:00+00:00"
9,BANKNIFTY,2026-09-18T04:05:00+00:00,indicators,2026-09-18T04:04:09.708Z,0,PASS,indicators at 2026-09-18T04:04:09.708Z
9,BANKNIFTY,2026-09-18T04:05:00+00:00,market_regime,2026-09-18T04:04:09.708Z,0,PASS,regime at 2026-09-18T04:04:09.708Z
10,NIFTY,2026-09-18T04:05:00+00:00,price_1m,2026-09-18 10:29:00,0,PASS,"1m data at 2026-09-18 10:29:00, 5m candle at 2026-09-18T04:05:00+00:00"
10,NIFTY,2026-09-18T04:05:00+00:00,indicators,2026-09-18T04:04:08.210Z,0,PASS,indicators at 2026-09-18T04:04:08.210Z
10,NIFTY,2026-09-18T04:05:00+00:00,market_regime,2026-09-18T04:04:08.210Z,0,PASS,regime at 2026-09-18T04:04:08.210Z
11,BANKNIFTY,2026-09-18T04:00:00+00:00,price_1m,2026-09-18 10:29:00,0,PASS,"1m data at 2026-09-18 10:29:00, 5m candle at 2026-09-18T04:00:00+00:00"
11,BANKNIFTY,2026-09-18T04:00:00+00:00,indicators,2026-09-18T03:59:04.764Z,0,PASS,indicators at 2026-09-18T03:59:04.764Z
11,BANKNIFTY,2026-09-18T04:00:00+00:00,market_regime,2026-09-18T03:59:04.764Z,0,PASS,regime at 2026-09-18T03:59:04.764Z
12,NIFTY,2026-09-18T04:00:00+00:00,price_1m,2026-09-18 10:29:00,0,PASS,"1m data at 2026-09-18 10:29:00, 5m candle at 2026-09-18T04:00:00+00:00"
12,NIFTY,2026-09-18T04:00:00+00:00,indicators,2026-09-18T03:59:04.092Z,0,PASS,indicators at 2026-09-18T03:59:04.092Z
12,NIFTY,2026-09-18T04:00:00+00:00,market_regime,2026-09-18T03:59:04.092Z,0,PASS,regime at 2026-09-18T03:59:04.092Z
13,BANKNIFTY,2026-09-18T03:55:00+00:00,price_1m,2026-09-18 10:29:00,0,PASS,"1m data at 2026-09-18 10:29:00, 5m candle at 2026-09-18T03:55:00+00:00"
13,BANKNIFTY,2026-09-18T03:55:00+00:00,indicators,2026-09-18T03:54:09.390Z,0,PASS,indicators at 2026-09-18T03:54:09.390Z
