trade_id,instrument,qualification_timestamp,entry_timestamp,direction,strategy,status,entry_condition,invalidation,setup_fingerprint,outlook_id,evidence_id,notes
PT-20260917145516-7064BE,NIFTY,2026-09-17T14:55:16Z,2026-09-15 09:55:00,BEARISH,,EXPIRED,Price sustains below VWAP for bearish confirmation,NIFTY regains VWAP (23206.39),E31B1D84F7154CB1,REPLAY-2026-09-15 09:55:00,,status=EXPIRED
PT-20260917145516-B4C3A9,NIFTY,2026-09-17T14:55:16Z,2026-09-15 09:50:00,BEARISH,,TARGET_HIT,Price sustains below VWAP for bearish confirmation,NIFTY regains VWAP (23213.00),BBFCBED6DE2394F5,REPLAY-2026-09-15 09:50:00,,status=TARGET_HIT
PT-20260917145516-1B093F,NIFTY,2026-09-17T14:55:16Z,2026-09-15 09:45:00,BEARISH,,TARGET_HIT,Price sustains below VWAP for bearish confirmation,NIFTY regains VWAP (23217.45),AA5E59BEFB4FC658,REPLAY-2026-09-15 09:45:00,,status=TARGET_HIT
PT-20260917145516-DE35E3,NIFTY,2026-09-17T14:55:16Z,2026-09-15 09:40:00,BEARISH,,TARGET_HIT,Price sustains below VWAP for bearish confirmation,NIFTY regains VWAP (23222.48),E92492437E9C300B,REPLAY-2026-09-15 09:40:00,,status=TARGET_HIT
PT-20260917145516-FEEBB6,NIFTY,2026-09-17T14:55:16Z,2026-09-15 09:35:00,BEARISH,,TARGET_HIT,Price sustains below VWAP for bearish confirmation,NIFTY regains VWAP (23227.30),965AAB16EAD24A22,REPLAY-2026-09-15 09:35:00,,status=TARGET_HIT
PT-20260917145516-30A459,NIFTY,2026-09-17T14:55:16Z,2026-09-15 09:30:00,BEARISH,,TARGET_HIT,Price sustains below VWAP for bearish confirmation,NIFTY regains VWAP (23232.87),58F3C0749DC12201,REPLAY-2026-09-15 09:30:00,,status=TARGET_HIT
PT-20260917145516-0504F2,NIFTY,2026-09-17T14:55:16Z,2026-09-15 09:25:00,BEARISH,,TARGET_HIT,Price sustains below VWAP for bearish confirmation,NIFTY regains VWAP (23238.28),0342AA7CD90AE9B0,REPLAY-2026-09-15 09:25:00,,status=TARGET_HIT
PT-20260917145516-66D807,NIFTY,2026-09-17T14:55:16Z,2026-09-15 09:20:00,BEARISH,,TARGET_HIT,Price sustains below VWAP for bearish confirmation,NIFTY regains VWAP (23243.94),9451BEF92CBB5F1F,REPLAY-2026-09-15 09:20:00,,status=TARGET_HIT
PT-20260917145516-22383F,NIFTY,2026-09-17T14:55:16Z,2026-09-15 09:15:00,BEARISH,,TARGET_HIT,Price sustains below VWAP for bearish confirmation,NIFTY regains VWAP (23249.90),7801C6FD18760C8D,REPLAY-2026-09-15 09:15:00,,status=TARGET_HIT
PT-20260917145516-87BBEC,NIFTY,2026-09-17T14:55:16Z,2026-09-15 09:10:00,BEARISH,,TARGET_HIT,Price sustains below VWAP for bearish confirmation,NIFTY regains VWAP (23256.41),C85B83077D3FA1FE,REPLAY-2026-09-15 09:10:00,,status=TARGET_HIT
PT-20260917145516-ADC732,NIFTY,2026-09-17T14:55:16Z,2026-09-15 09:05:00,BEARISH,,TARGET_HIT,Price sustains below VWAP for bearish confirmation,NIFTY regains VWAP (23260.85),C12F9B9519AF0369,REPLAY-2026-09-15 09:05:00,,status=TARGET_HIT
PT-20260917145516-B1BDFD,NIFTY,2026-09-17T14:55:16Z,2026-09-15 09:00:00,BEARISH,,TARGET_HIT,Price sustains below VWAP for bearish confirmation,NIFTY regains VWAP (23265.76),D9358FF3B511AB40,REPLAY-2026-09-15 09:00:00,,status=TARGET_HIT
PT-20260917145516-2E4F16,NIFTY,2026-09-17T14:55:16Z,2026-09-15 08:55:00,BEARISH,,TARGET_HIT,Price sustains below VWAP for bearish confirmation,NIFTY regains VWAP (23271.85),1EE25C824A60B7B5,REPLAY-2026-09-15 08:55:00,,status=TARGET_HIT
PT-20260917145516-3F6F43,NIFTY,2026-09-17T14:55:16Z,2026-09-15 08:50:00,BEARISH,,TARGET_HIT,Price sustains below VWAP for bearish confirmation,NIFTY regains VWAP (23277.76),4E08AF428D86E8C7,REPLAY-2026-09-15 08:50:00,,status=TARGET_HIT
PT-20260917145516-A677CD,NIFTY,2026-09-17T14:55:16Z,2026-09-15 08:45:00,BEARISH,,TARGET_HIT,Price sustains below VWAP for bearish confirmation,NIFTY regains VWAP (23283.33),448142DC2F2F6139,REPLAY-2026-09-15 08:45:00,,status=TARGET_HIT
PT-20260917145515-5FBD9D,NIFTY,2026-09-17T14:55:15Z,2026-09-15 08:40:00,BEARISH,,TARGET_HIT,Price sustains below VWAP for bearish confirmation,NIFTY regains VWAP (23289.13),CDBEB7CFB56E99B5,REPLAY-2026-09-15 08:40:00,,status=TARGET_HIT
PT-20260917145515-E27EEB,NIFTY,2026-09-17T14:55:15Z,2026-09-15 08:35:00,BEARISH,,TARGET_HIT,Price sustains below VWAP for bearish confirmation,NIFTY regains VWAP (23293.33),8FE412736C872A47,REPLAY-2026-09-15 08:35:00,,status=TARGET_HIT
PT-20260917145515-2D9092,NIFTY,2026-09-17T14:55:15Z,2026-09-15 08:30:00,BEARISH,,TARGET_HIT,Price sustains below VWAP for bearish confirmation,NIFTY regains VWAP (23296.82),3670EE505C1DEE73,REPLAY-2026-09-15 08:30:00,,status=TARGET_HIT
PT-20260917145515-59514C,NIFTY,2026-09-17T14:55:15Z,2026-09-15 08:25:00,BEARISH,,TARGET_HIT,Price sustains below VWAP for bearish confirmation,NIFTY regains VWAP (23299.74),BF62482BB033CBA0,REPLAY-2026-09-15 08:25:00,,status=TARGET_HIT
PT-20260917145515-9FB3C7,NIFTY,2026-09-17T14:55:15Z,2026-09-15 08:20:00,BEARISH,,TARGET_HIT,Price sustains below VWAP for bearish confirmation,NIFTY regains VWAP (23302.75),DE6D754D717EB649,REPLAY-2026-09-15 08:20:00,,status=TARGET_HIT
