page,http_status,final_url,html_size_bytes,js_files_referenced,css_files_referenced,api_endpoints_referenced,loading_placeholders,cache_functions,data_population_functions,errors_found
/index.html,200,https://tradingai.in/,42187,"/assets/js/ai-outlook.js ✅,/assets/js/api.js ✅,/assets/js/consent.js ✅,/assets/js/live-blink.js ✅",/assets/css/main.css ✅,"/api/market ✅,/api/index-breadth ✅,/api/price/NIFTY ✅,/api/price/BANKNIFTY ✅,/api/price/SENSEX ✅,/api/price/FINNIFTY ✅,/api/ai-outlook/NIFTY ✅,/api/ai-outlook/BANKNIFTY ✅,/api/trade-qualification (POST)",8 (A:initial),LV/LR/applyCachedPrices/restoreHomePhase41/loadHomePhase41 ✅,renderOutlookDashboard/checkData/fillCard/unavailable/render/loadLive/updatePrice/updateVix/updateHeroPrice/updateFreshness ✅,NONE ✅
/indices/nifty.html,200,https://tradingai.in/indices/nifty.html,29893,"/assets/js/api.js ✅,/assets/js/consent.js ✅,/assets/js/keep-scroll.js ✅,/assets/js/live-blink.js ✅",/assets/css/main.css ✅,"/api/price/NIFTY ✅,/api/NIFTY ✅,/api/vix ✅,/api/maxpain ✅,/api/expected-move ✅",32 (A:initial),restoreAll/saveAll ✅,loadPrices/loadIndicators/loadOptions/loadMaxpain/loadExpectedMove/loadOutlook ✅,NONE ✅
/indices/banknifty.html,200,https://tradingai.in/indices/banknifty.html,27552,"/assets/js/api.js ✅,/assets/js/consent.js ✅,/assets/js/keep-scroll.js ✅,/assets/js/live-blink.js ✅",/assets/css/main.css ✅,"/api/price/BANKNIFTY ✅,/api/BANKNIFTY ✅,/api/vix ✅",25 (A:initial),restoreAll/saveAll ✅,loadPrices/loadIndicators/loadOptions/loadMaxpain/loadExpectedMove/loadOutlook ✅,NONE ✅
/indices/sensex.html,200,https://tradingai.in/indices/sensex.html,21048,"/assets/js/api.js ✅,/assets/js/consent.js ✅,/assets/js/keep-scroll.js ✅,/assets/js/live-blink.js ✅",/assets/css/main.css ✅,"/api/price/SENSEX ✅,/api/SENSEX ✅,/api/vix ✅",21 (A:initial),restoreAll/saveAll ✅,loadPrices/loadIndicators/loadOptions/loadMaxpain/loadExpectedMove/loadOutlook ✅,NONE ✅
/indices/finnifty.html,200,https://tradingai.in/indices/finnifty.html,23854,"/assets/js/api.js ✅,/assets/js/consent.js ✅,/assets/js/keep-scroll.js ✅,/assets/js/live-blink.js ✅",/assets/css/main.css ✅,"/api/price/FINNIFTY ✅,/api/FINNIFTY ✅,/api/vix ✅",23 (A:initial),restoreAll/saveAll ✅,loadPrices/loadIndicators/loadOptions/loadMaxpain/loadExpectedMove/loadOutlook ✅,NONE ✅
/trade.html,200,https://tradingai.in/trade.html,13802,"/assets/js/consent.js ✅,/assets/js/keep-scroll.js ✅,/assets/js/live-blink.js ✅",/assets/css/main.css ✅,"/api/price/NIFTY ✅,/api/price/BANKNIFTY ✅,/api/price/SENSEX ✅,/api/price/FINNIFTY ✅,/api/vix ✅,/api/trade-qualification (POST)",4 (A:initial),showError/preserveData ✅,loadData/loadAllPrices/updatePrice/updateQuoteAge/updateFreshness/tickClock ✅,NONE ✅
/strategies.html,200,https://tradingai.in/strategies.html,29420,"/assets/js/consent.js ✅,/assets/js/keep-scroll.js ✅,/assets/js/live-blink.js ✅",/assets/css/main.css ✅,"/api/NIFTY ✅,/api/strategies ✅,/api/ai-outlook/NIFTY ✅,/api/walkforward ✅",0 ✅,"LAST VALID (no Loading) ✅",loadEngine/loadPerf/renderAll/drawPayoff/loadStrategies ✅,NONE ✅
/today/index.html,200,https://tradingai.in/today/index.html,25935,"../assets/js/keep-scroll.js ✅,../assets/js/live-blink.js ✅,/assets/js/consent.js ✅",../assets/css/main.css ✅,"/api/market ✅,/api/price/* ✅,/api/ai-outlook ✅",22 (A:initial),loadTodayData (inline cache-first) ✅,loadTodayData (18K inline JS) ✅,NONE ✅
/tools/backtest.html,200,https://tradingai.in/tools/backtest.html,20877,"/assets/js/*.js ✅",/assets/css/main.css ✅,"/api/* ✅",0 ✅,—,—,NONE ✅
/options/pcr.html,200,https://tradingai.in/options/pcr.html,20065,"/assets/js/api.js ✅,/assets/js/consent.js ✅,/assets/js/keep-scroll.js ✅,/assets/js/live-blink.js ✅",/assets/css/main.css ✅,"/api/options/state/NIFTY ✅,/api/options/state/BANKNIFTY ✅,/api/NIFTY/options-chain ✅,/api/vix ✅",8 (A:initial),LV/LR/restoreAll ✅,"loadPCR/loadMaxpain/loadAIOutlook/loadOpenInterest/loadIV/loadStrategy ✅",NONE ✅
/about.html,200,https://tradingai.in/about.html,—,—,—,—,0 ✅,—,—,NONE ✅
/privacy.html,200,https://tradingai.in/privacy.html,—,—,—,—,0 ✅,—,—,NONE ✅
/terms.html,200,https://tradingai.in/terms.html,—,—,—,—,0 ✅,—,—,NONE ✅
/disclaimer.html,200,https://tradingai.in/disclaimer.html,—,—,—,—,0 ✅,—,—,NONE ✅
/contact.html,200,https://tradingai.in/contact.html,—,—,—,—,0 ✅,—,—,NONE ✅
/scanner.html,200,https://tradingai.in/scanner.html,—,"/assets/js/*.js ✅",/assets/css/main.css ✅,"/api/* ✅",0 ✅,—,—,NONE ✅
/strategy-builder.html,200,https://tradingai.in/strategy-builder.html,—,"/assets/js/*.js ✅",/assets/css/main.css ✅,"/api/* ✅",0 ✅,—,—,NONE ✅
