date,timestamp,signal,direction,entry,stop,target,exit,result,pnl,r,reason
2026-08-10,2026-08-10 08:10:00,EMA_CROSS_UP,LONG,24606.349609375,24483.32,24852.41,24483.32,LOSS,-12303.17,-1.0,Stop hit
2026-08-11,2026-08-11 07:40:00,EMA_CROSS_UP,LONG,24453.150390625,24330.88,24697.68,24330.88,LOSS,-12226.58,-1.0,Stop hit
2026-08-12,2026-08-12 09:00:00,EMA_CROSS_UP,LONG,24321.94921875,24200.34,24565.17,24200.34,LOSS,-12160.97,-1.0,Stop hit
2026-08-18,2026-08-18 09:15:00,EMA_CROSS_UP,LONG,24207.099609375,24086.06,24449.17,24086.06,LOSS,-12103.55,-1.0,Stop hit
2026-08-19,2026-08-19 09:30:00,EMA_CROSS_UP,LONG,24055.849609375,23935.57,24296.41,24296.41,WIN,24055.85,2.0,Target hit
2026-08-24,2026-08-24 09:40:00,EMA_CROSS_UP,LONG,24182.150390625,24061.24,24423.97,24061.24,LOSS,-12091.08,-1.0,Stop hit
2026-08-31,2026-08-31 06:20:00,EMA_CROSS_UP,LONG,24072.849609375,23952.49,24313.58,23952.49,LOSS,-12036.42,-1.0,Stop hit
2026-09-02,2026-09-02 07:10:00,EMA_CROSS_UP,LONG,23860.94921875,23741.64,24099.56,23741.64,LOSS,-11930.47,-1.0,Stop hit
2026-09-07,2026-09-07 08:25:00,EMA_CROSS_UP,LONG,23775.05078125,23656.18,24012.8,23656.18,LOSS,-11887.53,-1.0,Stop hit
2026-09-09,2026-09-09 07:05:00,EMA_CROSS_UP,LONG,23557.44921875,23439.66,23793.02,23439.66,LOSS,-11778.72,-1.0,Stop hit
2026-09-10,2026-09-10 06:30:00,EMA_CROSS_UP,LONG,23446.94921875,23329.71,23681.42,23329.71,LOSS,-11723.47,-1.0,Stop hit
2026-09-11,2026-09-11 05:45:00,EMA_CROSS_UP,LONG,23342.0,23225.29,23575.42,23398.1,WIN,5609.96,0.48,EOD close
