metric,value
total_outlooks,2250
directional_outlooks,56
bullish_outlooks,9
bearish_outlooks,47
non_directional_outlooks,0
wait,56
no_trade,2194
triggered,56
no_trigger,0
wins,24
losses,31
expired,1
win_rate,43.64
loss_rate,56.36
outcome_rate,2.49
no_trigger_rate,0.0
expiry_rate,0.04
directional_accuracy,53.57
avg_return,0.0682
max_drawdown_pct,-0.259
avg_win_pct,0.2305
avg_loss_pct,-0.1265
payoff_ratio,1.8221
confusion_matrix,"{""tp"": 4, ""fp"": 20, ""fn"": 5, ""tn"": 27, ""precision"": 16.67, ""recall"": 44.44, ""fpr"": 42.55, ""fnr"": 55.56}"
by_structure,"{""SIDEWAYS_TO_BEARISH"": {""count"": 47, ""wins"": 20, ""losses"": 26, ""expired"": 1, ""returns"": [0.4022, 0.4247, 0.4959, 0.4782, 0.4868, 0.4903, 0.4879, 0.1786, 0.1367, 0.1176, -0.0073, 0.0401, 0.0967, 0.1805, -0.0474, -0.0474, 0.1502, 0.1606, 0.1989, 0.0714, 0.2897, -0.2096, -0.2232, -0.2292, -0.2468, -0.2403, -0.2175, -0.1964, -0.259, -0.2172, -0.254, 0.314, 0.3594, -0.1589, -0.147, -0.1042, -0.068, 0.0939, 0.097, 0.1253, 0.0831, -0.0319, -0.0412, -0.0146, 0.1604, 0.2034], ""win_rate"": 43.48, ""avg_return"": 0.0731, ""avg_favorable"": 0.2432, ""avg_adverse"": -0.1481}, ""SIDEWAYS_TO_BULLISH"": {""count"": 9, ""wins"": 4, ""losses"": 5, ""expired"": 0, ""returns"": [-0.0872, -0.054, 0.4687, 0.007, -0.023, -0.023, -0.0137, 0.0651, 0.0511], ""win_rate"": 44.44, ""avg_return"": 0.0434, ""avg_favorable"": 0.148, ""avg_adverse"": -0.0402}}"
by_hour,"{""09:15-10:00"": {""count"": 0, ""wins"": 0, ""losses"": 0, ""returns"": [], ""win_rate"": 0.0, ""avg_return"": 0.0}, ""10:00-11:00"": {""count"": 0, ""wins"": 0, ""losses"": 0, ""returns"": [], ""win_rate"": 0.0, ""avg_return"": 0.0}, ""11:00-12:00"": {""count"": 0, ""wins"": 0, ""losses"": 0, ""returns"": [], ""win_rate"": 0.0, ""avg_return"": 0.0}, ""12:00-13:00"": {""count"": 0, ""wins"": 0, ""losses"": 0, ""returns"": [], ""win_rate"": 0.0, ""avg_return"": 0.0}, ""13:00-14:00"": {""count"": 20, ""wins"": 12, ""losses"": 0, ""returns"": [0.4022, 0.4247, 0.4959, -0.0073, 0.007, 0.1502, -0.2096, -0.2232, -0.2292, -0.2175, -0.1964, -0.1589, 0.0939, 0.097, -0.0319, -0.0412, -0.0146, 0.1604, 0.2034, 0.0511], ""win_rate"": 100.0, ""avg_return"": 0.0378}, ""14:00-15:30"": {""count"": 36, ""wins"": 12, ""losses"": 0, ""returns"": [0.4782, 0.4868, 0.4903, 0.4879, -0.0872, -0.054, 0.1786, 0.1367, 0.1176, 0.0401, 0.0967, 0.4687, 0.1805, -0.023, -0.023, -0.0137, -0.0474, -0.0474, 0.1606, 0.1989, 0.0714, 0.2897, -0.2468, -0.2403, -0.259, -0.2172, -0.254, 0.314, 0.3594, 0.0651, -0.147, -0.1042, -0.068, 0.1253, 0.0831], ""win_rate"": 100.0, ""avg_return"": 0.0856}}"
by_confidence,"{""MEDIUM"": {""count"": 56, ""wins"": 24, ""losses"": 0, ""returns"": [0.4022, 0.4247, 0.4959, 0.4782, 0.4868, 0.4903, 0.4879, -0.0872, -0.054, 0.1786, 0.1367, 0.1176, -0.0073, 0.0401, 0.0967, 0.4687, 0.007, 0.1805, -0.023, -0.023, -0.0137, -0.0474, -0.0474, 0.1502, 0.1606, 0.1989, 0.0714, 0.2897, -0.2096, -0.2232, -0.2292, -0.2468, -0.2403, -0.2175, -0.1964, -0.259, -0.2172, -0.254, 0.314, 0.3594, 0.0651, -0.1589, -0.147, -0.1042, -0.068, 0.0939, 0.097, 0.1253, 0.0831, -0.0319, -0.0412, -0.0146, 0.1604, 0.2034, 0.0511], ""win_rate"": 100.0, ""avg_return"": 0.0682}}"
by_direction,"{""BULLISH"": {""signals"": 9, ""triggered"": 9, ""wins"": 4, ""losses"": 5, ""expired"": 0, ""win_rate"": 44.44, ""avg_return"": 0.0434, ""avg_time_to_target"": 69.0, ""avg_time_to_invalidation"": 57.0}, ""BEARISH"": {""signals"": 47, ""triggered"": 47, ""wins"": 20, ""losses"": 26, ""expired"": 1, ""win_rate"": 42.55, ""avg_return"": 0.0731, ""avg_time_to_target"": 76.0, ""avg_time_to_invalidation"": 69.0}}"
wilson_confidence_interval,"{""lower"": 31.37, ""upper"": 56.73, ""point"": 43.64}"
