trade_id,entry_time_ist,entry_price,entry_utc,exit_time_ist,exit_price,exit_utc,trigger_delay_min,total_time_min,market_structure,directional_bias,trade_class,trade_status,confidence,outcome,return_pct,reason,mfe_pct,mae_pct
1,2026-08-04 09:15:00 IST,24599.80078125,2026-08-04 03:45:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
2,2026-08-04 09:20:00 IST,24615.849609375,2026-08-04 03:50:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
3,2026-08-04 09:25:00 IST,24597.599609375,2026-08-04 03:55:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
4,2026-08-04 09:30:00 IST,24590.650390625,2026-08-04 04:00:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
5,2026-08-04 09:35:00 IST,24604.650390625,2026-08-04 04:05:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
6,2026-08-04 09:40:00 IST,24623.599609375,2026-08-04 04:10:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
7,2026-08-04 09:45:00 IST,24635.150390625,2026-08-04 04:15:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
8,2026-08-04 09:50:00 IST,24634.150390625,2026-08-04 04:20:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
9,2026-08-04 09:55:00 IST,24631.55078125,2026-08-04 04:25:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
10,2026-08-04 10:00:00 IST,24626.400390625,2026-08-04 04:30:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
11,2026-08-04 10:05:00 IST,24611.400390625,2026-08-04 04:35:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
12,2026-08-04 10:10:00 IST,24615.5,2026-08-04 04:40:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
13,2026-08-04 10:15:00 IST,24616.19921875,2026-08-04 04:45:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
14,2026-08-04 10:20:00 IST,24593.80078125,2026-08-04 04:50:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
15,2026-08-04 10:25:00 IST,24592.80078125,2026-08-04 04:55:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
16,2026-08-04 10:30:00 IST,24582.900390625,2026-08-04 05:00:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
17,2026-08-04 10:35:00 IST,24581.94921875,2026-08-04 05:05:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
18,2026-08-04 10:40:00 IST,24582.0,2026-08-04 05:10:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
19,2026-08-04 10:45:00 IST,24583.5,2026-08-04 05:15:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
20,2026-08-04 10:50:00 IST,24581.80078125,2026-08-04 05:20:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
21,2026-08-04 10:55:00 IST,24575.400390625,2026-08-04 05:25:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
22,2026-08-04 11:00:00 IST,24589.19921875,2026-08-04 05:30:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
23,2026-08-04 11:05:00 IST,24587.900390625,2026-08-04 05:35:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
24,2026-08-04 11:10:00 IST,24590.900390625,2026-08-04 05:40:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
25,2026-08-04 11:15:00 IST,24593.349609375,2026-08-04 05:45:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
26,2026-08-04 11:20:00 IST,24585.900390625,2026-08-04 05:50:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
27,2026-08-04 11:25:00 IST,24577.05078125,2026-08-04 05:55:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
28,2026-08-04 11:30:00 IST,24568.80078125,2026-08-04 06:00:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
29,2026-08-04 11:35:00 IST,24571.05078125,2026-08-04 06:05:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
30,2026-08-04 11:40:00 IST,24555.44921875,2026-08-04 06:10:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
31,2026-08-04 11:45:00 IST,24532.80078125,2026-08-04 06:15:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
32,2026-08-04 11:50:00 IST,24532.75,2026-08-04 06:20:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
33,2026-08-04 11:55:00 IST,24524.150390625,2026-08-04 06:25:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
34,2026-08-04 12:00:00 IST,24521.900390625,2026-08-04 06:30:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
35,2026-08-04 12:05:00 IST,24506.349609375,2026-08-04 06:35:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
36,2026-08-04 12:10:00 IST,24511.30078125,2026-08-04 06:40:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
37,2026-08-04 12:15:00 IST,24519.75,2026-08-04 06:45:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
38,2026-08-04 12:20:00 IST,24519.349609375,2026-08-04 06:50:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
39,2026-08-04 12:25:00 IST,24515.69921875,2026-08-04 06:55:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
40,2026-08-04 12:30:00 IST,24507.55078125,2026-08-04 07:00:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
41,2026-08-04 12:35:00 IST,24503.25,2026-08-04 07:05:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
42,2026-08-04 12:40:00 IST,24493.349609375,2026-08-04 07:10:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
