session_date,instrument,cpr_classification,gap_direction,ladder,virgin_cpr,selected_strategy,direction,entry_price,stop_price,target_price,exit_price,net_pnl,result
2026-07-07,BANKNIFTY,NARROW,BULLISH,NEUTRAL,False,PIVOT_BOUNCE,SHORT,58546.69921875,58771.06768125,58227.5169,58227.5169,9575.47,WIN
2026-07-08,BANKNIFTY,NORMAL,BEARISH,NEUTRAL,False,PIVOT_BOUNCE,LONG,57918.25,57812.2995,58266.2995,57707.30078125,-6328.48,LOSS
2026-07-10,BANKNIFTY,NORMAL,BULLISH,NEUTRAL,False,PIVOT_BOUNCE,SHORT,57592.5,57824.9648375,57218.0664,57882.3984375,-8696.95,LOSS
2026-07-13,BANKNIFTY,NARROW,BEARISH,ASCENDING,True,PIVOT_BOUNCE,LONG,57616.69921875,57295.70048125,57965.1497,57965.1497,10453.51,WIN
2026-07-14,BANKNIFTY,WIDE,BEARISH,NEUTRAL,False,PIVOT_BOUNCE,LONG,57667.6015625,57207.6015625,57943.75,57426.94921875,-7219.57,LOSS
2026-07-15,BANKNIFTY,NARROW,BULLISH,DESCENDING,True,PIVOT_BOUNCE,SHORT,57762.3984375,58086.296875,57525.0,58120.69921875,-10749.02,LOSS
2026-07-16,BANKNIFTY,NARROW,BULLISH,ASCENDING,False,PIVOT_BOUNCE,LONG,57460.43361875,57191.7656375,57803.8672,57580.44921875,3600.47,WIN
2026-07-17,BANKNIFTY,NARROW,BULLISH,DESCENDING,False,PIVOT_BOUNCE,SHORT,57857.9505625,58123.9010625,57639.0495,58139.80078125,-8455.51,LOSS
2026-07-20,BANKNIFTY,WIDE,BEARISH,ASCENDING,False,PIVOT_BOUNCE,LONG,57643.55078125,57184.46874375,58239.5664,57950.94921875,9221.95,WIN
2026-07-21,BANKNIFTY,NORMAL,BEARISH,DESCENDING,False,PIVOT_BOUNCE,SHORT,58210.90103750001,58456.45051875,57872.0013,57872.0013,10166.99,WIN
2026-07-22,BANKNIFTY,NORMAL,BEARISH,ASCENDING,False,PIVOT_BOUNCE,LONG,57672.8332375,57518.06505625,57949.7174,57425.3515625,-7424.45,LOSS
2026-07-23,BANKNIFTY,NORMAL,BEARISH,DESCENDING,True,PIVOT_BOUNCE,LONG,56801.21738125,56470.3333,57292.8333,56466.30078125,-10047.5,LOSS
2026-07-24,BANKNIFTY,NARROW,BEARISH,DESCENDING,True,PIVOT_BOUNCE,LONG,56215.5,56060.7161,56621.2161,56059.8984375,-4668.05,LOSS
2026-07-27,BANKNIFTY,WIDE,BULLISH,DESCENDING,False,PIVOT_BOUNCE,SHORT,57116.80078125,57345.2682625,56540.6667,57091.8515625,748.48,WIN
2026-07-28,BANKNIFTY,NARROW,BEARISH,ASCENDING,True,PIVOT_BOUNCE,LONG,56904.8515625,56714.64715625,57124.7995,56692.75,-6363.05,LOSS
2026-07-29,BANKNIFTY,NORMAL,BULLISH,DESCENDING,True,PIVOT_BOUNCE,SHORT,57133.3515625,57203.51561875,56814.3164,57257.80078125,-3733.48,LOSS
2026-07-30,BANKNIFTY,NARROW,BEARISH,ASCENDING,True,PIVOT_BOUNCE,LONG,56983.750037499995,56763.89845625,57149.5508,57149.5508,4974.02,WIN
2026-07-31,BANKNIFTY,NARROW,BULLISH,DESCENDING,False,PIVOT_BOUNCE,SHORT,57303.3983625,57513.8984,57036.1484,57256.8515625,1396.4,WIN
2026-08-04,BANKNIFTY,WIDE,BEARISH,ASCENDING,True,PIVOT_BOUNCE,LONG,57729.61598125,57201.2826,57988.7826,57492.75,-7105.98,LOSS
2026-08-05,BANKNIFTY,NORMAL,BEARISH,DESCENDING,False,PIVOT_BOUNCE,LONG,57493.682362499996,57070.1654,57766.1654,57629.75,4082.03,WIN
2026-08-06,BANKNIFTY,NARROW,BULLISH,DESCENDING,False,PIVOT_BOUNCE,SHORT,57960.74861875,58191.5481375,57708.8997,58007.94921875,-1416.02,LOSS
2026-08-07,BANKNIFTY,NORMAL,BEARISH,ASCENDING,False,PIVOT_BOUNCE,LONG,57828.1640375,57582.679675,57952.3828,57952.3828,3726.56,WIN
2026-08-10,BANKNIFTY,NARROW,BULLISH,DESCENDING,False,PIVOT_BOUNCE,SHORT,57930.69921875,58124.94921875,57809.5,57809.5,3635.98,WIN
2026-08-11,BANKNIFTY,NARROW,BEARISH,DESCENDING,False,PIVOT_BOUNCE,LONG,57472.26563749999,57247.5820375,57742.4336,57227.3515625,-7347.42,LOSS
2026-08-12,BANKNIFTY,NARROW,BEARISH,DESCENDING,True,PIVOT_BOUNCE,SHORT,57648.232981249996,57860.2161,57403.4661,57771.3515625,-3693.56,LOSS
2026-08-14,BANKNIFTY,NARROW,NEUTRAL,NEUTRAL,False,PIVOT_BOUNCE,LONG,57528.2838375,57411.3177,57655.5677,57655.5677,3818.52,WIN
2026-08-17,BANKNIFTY,NARROW,NEUTRAL,DESCENDING,False,PIVOT_BOUNCE,LONG,57354.56641874999,57208.03125625,57517.1836,57196.0,-4756.99,LOSS
2026-08-19,BANKNIFTY,NORMAL,NEUTRAL,DESCENDING,False,PIVOT_BOUNCE,LONG,57125.86598125,56979.33338125,57355.2826,57157.75,956.52,WIN
2026-08-20,BANKNIFTY,NARROW,BULLISH,DESCENDING,False,PIVOT_BOUNCE,SHORT,57505.8515625,57519.8854625,57188.2839,57561.05078125,-1655.98,LOSS
