session_date,instrument,cpr_classification,gap_direction,ladder,virgin_cpr,selected_strategy,direction,entry_price,stop_price,target_price,exit_price,net_pnl,result
2026-07-30,INDIA_VIX,WIDE,NEUTRAL,NEUTRAL,False,PIVOT_BOUNCE,LONG,11.832500076293947,1.6374996185302741,12.1125,12.1125,14.0,WIN
2026-08-04,INDIA_VIX,NARROW,NEUTRAL,NEUTRAL,False,PIVOT_BOUNCE,SHORT,12.050000305175782,22.237500724792483,11.8725,11.8725,8.88,WIN
2026-08-05,INDIA_VIX,WIDE,NEUTRAL,ASCENDING,False,PIVOT_BOUNCE,LONG,11.501599923706056,0.9057996948242195,12.0233,12.0233,26.09,WIN
2026-08-06,INDIA_VIX,WIDE,NEUTRAL,DESCENDING,False,PIVOT_BOUNCE,LONG,10.927500343322755,-0.06749935150146413,11.8,11.8,43.62,WIN
2026-08-10,INDIA_VIX,WIDE,NEUTRAL,ASCENDING,False,PIVOT_BOUNCE,SHORT,12.691599809265135,23.243299465942382,11.9958,12.242500305175781,22.45,WIN
2026-08-13,INDIA_VIX,NARROW,NEUTRAL,DESCENDING,False,PIVOT_BOUNCE,SHORT,12.10410030517578,22.51330045776367,11.6808,11.6808,21.17,WIN
2026-08-17,INDIA_VIX,WIDE,NEUTRAL,DESCENDING,False,PIVOT_BOUNCE,SHORT,11.608400190734862,21.951700610351562,11.2167,11.307499885559082,15.05,WIN
2026-08-18,INDIA_VIX,WIDE,NEUTRAL,ASCENDING,False,PIVOT_BOUNCE,LONG,10.998400381469725,0.7042001144409173,11.3867,11.3867,19.41,WIN
2026-08-19,INDIA_VIX,WIDE,NEUTRAL,DESCENDING,False,PIVOT_BOUNCE,LONG,10.405000152587892,-0.5499995040893548,11.095,11.095,34.5,WIN
2026-08-20,INDIA_VIX,WIDE,NEUTRAL,DESCENDING,False,PIVOT_BOUNCE,LONG,10.338399618530275,-0.6332999618530266,11.0317,10.71500015258789,18.83,WIN
2026-08-21,INDIA_VIX,WIDE,NEUTRAL,DESCENDING,False,PIVOT_BOUNCE,LONG,9.664099771118163,-1.4966997711181644,10.4933,10.4933,41.46,WIN
2026-08-25,INDIA_VIX,WIDE,NEUTRAL,ASCENDING,False,PIVOT_BOUNCE,LONG,10.623399771118166,-0.24579999999999913,11.1917,11.1917,28.42,WIN
2026-08-27,INDIA_VIX,WIDE,NEUTRAL,DESCENDING,False,PIVOT_BOUNCE,SHORT,10.993399885559082,21.50669969482422,10.5617,10.982500076293945,0.54,WIN
2026-08-28,INDIA_VIX,WIDE,NEUTRAL,ASCENDING,False,PIVOT_BOUNCE,LONG,10.561600267028808,-0.00420019073486344,10.9208,10.9208,17.96,WIN
2026-08-31,INDIA_VIX,WIDE,NEUTRAL,DESCENDING,False,PIVOT_BOUNCE,SHORT,10.97409973297119,21.363299656677246,10.7533,11.28499984741211,-15.55,LOSS
2026-09-01,INDIA_VIX,NARROW,NEUTRAL,ASCENDING,False,PIVOT_BOUNCE,SHORT,11.426599694824219,21.81329927520752,11.0533,11.0533,18.66,WIN
2026-09-04,INDIA_VIX,WIDE,NEUTRAL,DESCENDING,False,PIVOT_BOUNCE,LONG,10.88590026702881,0.3967002670288089,11.2392,10.742500305175781,-7.17,LOSS
2026-09-07,INDIA_VIX,WIDE,NEUTRAL,DESCENDING,False,PIVOT_BOUNCE,LONG,10.350900381469728,0.0842007247924812,10.8442,10.8442,24.66,WIN
2026-09-08,INDIA_VIX,WIDE,NEUTRAL,ASCENDING,False,PIVOT_BOUNCE,LONG,10.489100152587891,-0.1542002288818356,10.9183,10.9183,21.46,WIN
2026-09-09,INDIA_VIX,WIDE,NEUTRAL,ASCENDING,False,PIVOT_BOUNCE,SHORT,11.545000190734864,21.942500648498537,10.9975,11.869999885559082,-16.25,LOSS
2026-09-11,INDIA_VIX,NARROW,NEUTRAL,ASCENDING,False,PIVOT_BOUNCE,SHORT,11.955899847412109,22.174199885559084,11.7417,12.279999732971191,-16.2,LOSS
2026-09-15,INDIA_VIX,WIDE,NEUTRAL,ASCENDING,False,PIVOT_BOUNCE,SHORT,12.864099961853029,23.48579954223633,11.9433,13.359999656677246,-24.79,LOSS
2026-09-17,INDIA_VIX,WIDE,NEUTRAL,NEUTRAL,False,PIVOT_BOUNCE,LONG,12.809099542236329,2.4782993133544924,13.1958,12.34000015258789,-23.45,LOSS
2026-09-18,INDIA_VIX,WIDE,NEUTRAL,DESCENDING,True,PIVOT_BOUNCE,LONG,11.959100457763672,1.6258,12.5633,11.385000228881836,-28.71,LOSS
2026-09-22,INDIA_VIX,WIDE,NEUTRAL,DESCENDING,False,PIVOT_BOUNCE,LONG,10.993400190734864,0.7642004959106448,11.4092,11.4092,20.79,WIN
2026-09-23,INDIA_VIX,NORMAL,NEUTRAL,DESCENDING,False,PIVOT_BOUNCE,LONG,10.592499618530272,0.2074999237060542,11.0025,10.319999694824219,-13.62,LOSS
2026-09-24,INDIA_VIX,WIDE,NEUTRAL,DESCENDING,False,PIVOT_BOUNCE,SHORT,10.87339973297119,21.36919927520752,10.5467,12.697500228881836,-91.21,LOSS
