session_date,instrument,cpr_classification,gap_direction,ladder,virgin_cpr,selected_strategy,direction,entry_price,stop_price,target_price,exit_price,net_pnl,result
2026-07-07,NIFTY,NARROW,NEUTRAL,NEUTRAL,False,PIVOT_BOUNCE,SHORT,24491.31641875,24568.88281875,24390.6836,24390.6836,6541.13,WIN
2026-07-08,NIFTY,NORMAL,BEARISH,ASCENDING,False,PIVOT_BOUNCE,LONG,24259.55078125,24220.90038125,24411.5996,24215.44921875,-2866.6,LOSS
2026-07-10,NIFTY,NARROW,BULLISH,NEUTRAL,False,PIVOT_BOUNCE,SHORT,24125.05078125,24230.6999,24013.9499,24203.900390625,-5125.22,LOSS
2026-07-14,NIFTY,NORMAL,BEARISH,DESCENDING,False,PIVOT_BOUNCE,LONG,24053.082609375,23887.56571875,24156.3665,24156.3665,6713.45,WIN
2026-07-15,NIFTY,NORMAL,NEUTRAL,DESCENDING,False,PIVOT_BOUNCE,SHORT,24119.733809375,24214.3171,24071.8171,24217.849609375,-6377.53,LOSS
2026-07-17,NIFTY,NARROW,NEUTRAL,ASCENDING,False,PIVOT_BOUNCE,SHORT,24161.249981250003,24251.40038125,24105.8496,24278.94921875,-7650.45,LOSS
2026-07-20,NIFTY,WIDE,BEARISH,ASCENDING,False,PIVOT_BOUNCE,LONG,24173.983809375,23994.3171,24270.5671,24239.25,4242.3,WIN
2026-07-21,NIFTY,NARROW,NEUTRAL,DESCENDING,False,PIVOT_BOUNCE,LONG,24161.983018749997,24074.46611875,24213.7669,24185.80078125,1548.15,WIN
2026-07-22,NIFTY,NARROW,NEUTRAL,DESCENDING,False,PIVOT_BOUNCE,LONG,24132.499981250003,24061.050771875,24197.3496,24047.150390625,-5547.72,LOSS
2026-07-23,NIFTY,NORMAL,BEARISH,DESCENDING,True,PIVOT_BOUNCE,LONG,23904.80078125,23826.04951875,24039.1003,23812.0,-6032.05,LOSS
2026-07-27,NIFTY,NORMAL,BULLISH,DESCENDING,True,PIVOT_BOUNCE,SHORT,23929.5,23966.166690625,23739.0163,23968.19921875,-2515.45,LOSS
2026-07-30,NIFTY,NARROW,NEUTRAL,ASCENDING,True,PIVOT_BOUNCE,SHORT,24302.75,24373.5,24222.25,24314.75,-780.0,LOSS
2026-07-31,NIFTY,NARROW,BULLISH,ASCENDING,False,PIVOT_BOUNCE,SHORT,24363.0326,24439.46551875,24276.5163,24377.900390625,-966.41,LOSS
2026-08-04,NIFTY,WIDE,BEARISH,ASCENDING,True,PIVOT_BOUNCE,LONG,24601.767018749997,24419.23311875,24688.0339,24463.44921875,-8990.66,LOSS
2026-08-10,NIFTY,NARROW,NEUTRAL,DESCENDING,True,PIVOT_BOUNCE,LONG,24519.100218749998,24457.550109375,24574.4505,24574.4505,3597.77,WIN
2026-08-11,NIFTY,NARROW,NEUTRAL,NEUTRAL,False,PIVOT_BOUNCE,LONG,24523.21741875,24452.6341,24571.8841,24449.69921875,-4778.68,LOSS
2026-08-12,NIFTY,NARROW,NEUTRAL,DESCENDING,False,PIVOT_BOUNCE,LONG,24408.799400000004,24335.8997,24492.1497,24309.400390625,-6460.94,LOSS
2026-08-14,NIFTY,NARROW,NEUTRAL,NEUTRAL,False,PIVOT_BOUNCE,LONG,24328.565809375003,24251.281928125,24378.7331,24378.7331,3260.87,WIN
2026-08-17,NIFTY,NARROW,NEUTRAL,DESCENDING,False,PIVOT_BOUNCE,LONG,24307.83338125,24239.666690625,24356.5163,24235.55078125,-4698.37,LOSS
2026-08-18,NIFTY,NARROW,BEARISH,DESCENDING,False,PIVOT_BOUNCE,LONG,24223.05078125,24148.548828125,24291.5,24166.349609375,-3685.58,LOSS
2026-08-19,NIFTY,NORMAL,NEUTRAL,DESCENDING,True,PIVOT_BOUNCE,LONG,24116.700599999996,24068.500690625,24193.1003,24065.5,-3328.04,LOSS
2026-08-20,NIFTY,NARROW,BULLISH,DESCENDING,True,PIVOT_BOUNCE,SHORT,24225.19921875,24241.299509375,24090.4499,24247.30078125,-1436.6,LOSS
2026-08-21,NIFTY,NARROW,NEUTRAL,ASCENDING,True,PIVOT_BOUNCE,SHORT,24282.0,24315.815709375,24226.9661,24226.9661,3577.2,WIN
2026-08-24,NIFTY,NARROW,NEUTRAL,ASCENDING,False,PIVOT_BOUNCE,SHORT,24287.016981250003,24332.03388125,24246.9831,24246.9831,2602.2,WIN
2026-08-25,NIFTY,NARROW,NEUTRAL,DESCENDING,False,PIVOT_BOUNCE,LONG,24138.050190625,24047.049509375,24225.4499,24225.4499,5680.98,WIN
2026-08-27,NIFTY,NORMAL,BULLISH,NEUTRAL,False,PIVOT_BOUNCE,LONG,24151.0,24084.25,24264.5,24133.05078125,-1166.7,LOSS
2026-08-31,NIFTY,NARROW,BEARISH,NEUTRAL,False,PIVOT_BOUNCE,LONG,24105.66661875,24025.68291875,24146.9837,24024.400390625,-5282.3,LOSS
2026-09-01,NIFTY,NARROW,NEUTRAL,DESCENDING,True,PIVOT_BOUNCE,SHORT,24140.017590625,24209.634771875,24066.9336,24066.9336,4750.46,WIN
2026-09-02,NIFTY,NARROW,BEARISH,DESCENDING,False,PIVOT_BOUNCE,LONG,23879.400390625,23850.1667,24050.4167,23788.05078125,-5937.72,LOSS
2026-09-03,NIFTY,NORMAL,BULLISH,DESCENDING,True,PIVOT_BOUNCE,SHORT,23997.94921875,24008.7148375,23872.3164,24020.599609375,-1472.28,LOSS
2026-09-04,NIFTY,NORMAL,NEUTRAL,ASCENDING,False,PIVOT_BOUNCE,SHORT,23973.04938125,24082.649690625,23923.2493,23937.900390625,2284.68,WIN
2026-09-07,NIFTY,NARROW,NEUTRAL,ASCENDING,False,PIVOT_BOUNCE,LONG,23860.849590625003,23813.999990625,23932.8496,23810.349609375,-3282.5,LOSS
2026-09-08,NIFTY,NARROW,NEUTRAL,DESCENDING,True,PIVOT_BOUNCE,LONG,23715.20061875,23641.2507,23802.0007,23638.19921875,-5005.09,LOSS
2026-09-10,NIFTY,NORMAL,NEUTRAL,DESCENDING,True,PIVOT_BOUNCE,LONG,23384.883390625,23328.266890625,23478.1165,23389.25,283.83,WIN
2026-09-15,NIFTY,NORMAL,BULLISH,DESCENDING,False,PIVOT_BOUNCE,SHORT,23576.150390625,23585.067090625,23359.4167,23359.4167,14087.69,WIN
2026-09-17,NIFTY,NARROW,NEUTRAL,NEUTRAL,False,PIVOT_BOUNCE,SHORT,23296.116590625003,23384.633490625,23206.2331,23294.349609375,114.85,WIN
2026-09-18,NIFTY,NARROW,BULLISH,ASCENDING,False,PIVOT_BOUNCE,SHORT,23357.54941875,23454.49931875,23276.3001,23341.849609375,1020.49,WIN
2026-09-21,NIFTY,NARROW,NEUTRAL,ASCENDING,True,PIVOT_BOUNCE,SHORT,23394.767018749997,23453.133509375,23340.7839,23466.650390625,-4672.42,LOSS
2026-09-22,NIFTY,NARROW,NEUTRAL,ASCENDING,False,PIVOT_BOUNCE,LONG,23341.883409374997,23244.7669,23404.2669,23349.5,495.08,WIN
2026-09-23,NIFTY,NORMAL,NEUTRAL,DESCENDING,False,PIVOT_BOUNCE,SHORT,23450.016981250003,23581.03388125,23367.9831,23431.349609375,1213.38,WIN
