instrument,session_date,strategy,direction,signal_timestamp,entry_timestamp,exit_timestamp,entry_price,stop_price,target_price,exit_price,risk_points,reward_points,gross_pnl,points,lot_size,costs,slippage,net_pnl,result,gap_direction,cpr_classification,ladder,virgin_cpr,all_qualifying_strategies,selection_reason,exit_reason
BANKNIFTY,2026-07-07,PIVOT_BOUNCE,SHORT,2026-07-07 09:15:00+05:30,2026-07-07 09:15:00+05:30,2026-07-07 13:10:00+05:30,58546.69921875,58771.06768125,58227.5169,58227.5169,224.3685,448.7369,9575.47,319.18,30,0.0,0.0,9575.47,WIN,BULLISH,NARROW,NEUTRAL,False,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,AMBIGUOUS
BANKNIFTY,2026-07-08,PIVOT_BOUNCE,LONG,2026-07-08 09:15:00+05:30,2026-07-08 09:15:00+05:30,2026-07-08 09:30:00+05:30,57918.25,57812.2995,58266.2995,57707.30078125,105.9505,211.901,-6328.48,-210.95,30,0.0,0.0,-6328.48,LOSS,BEARISH,NORMAL,NEUTRAL,False,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,STOP
BANKNIFTY,2026-07-10,PIVOT_BOUNCE,SHORT,2026-07-10 09:15:00+05:30,2026-07-10 09:15:00+05:30,2026-07-10 09:20:00+05:30,57592.5,57824.9648375,57218.0664,57882.3984375,232.4648,464.9297,-8696.95,-289.9,30,0.0,0.0,-8696.95,LOSS,BULLISH,NORMAL,NEUTRAL,False,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,AMBIGUOUS
BANKNIFTY,2026-07-13,PIVOT_BOUNCE,LONG,2026-07-13 09:15:00+05:30,2026-07-13 09:15:00+05:30,2026-07-13 10:20:00+05:30,57616.69921875,57295.70048125,57965.1497,57965.1497,320.9987,641.9975,10453.51,348.45,30,0.0,0.0,10453.51,WIN,BEARISH,NARROW,ASCENDING,True,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,TARGET
BANKNIFTY,2026-07-14,PIVOT_BOUNCE,LONG,2026-07-14 09:20:00+05:30,2026-07-14 09:20:00+05:30,2026-07-14 15:15:00+05:30,57667.6015625,57207.6015625,57943.75,57426.94921875,460.0,920.0,-7219.57,-240.65,30,0.0,0.0,-7219.57,LOSS,BEARISH,WIDE,NEUTRAL,False,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,SESSION_CLOSE
BANKNIFTY,2026-07-15,PIVOT_BOUNCE,SHORT,2026-07-15 09:15:00+05:30,2026-07-15 09:15:00+05:30,2026-07-15 09:30:00+05:30,57762.3984375,58086.296875,57525.0,58120.69921875,323.8984,647.7969,-10749.02,-358.3,30,0.0,0.0,-10749.02,LOSS,BULLISH,NARROW,DESCENDING,True,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,AMBIGUOUS
BANKNIFTY,2026-07-16,PIVOT_BOUNCE,LONG,2026-07-16 13:35:00+05:30,2026-07-16 13:35:00+05:30,2026-07-16 15:15:00+05:30,57460.43361875,57191.7656375,57803.8672,57580.44921875,268.668,537.336,3600.47,120.02,30,0.0,0.0,3600.47,WIN,BULLISH,NARROW,ASCENDING,False,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,SESSION_CLOSE
BANKNIFTY,2026-07-17,PIVOT_BOUNCE,SHORT,2026-07-17 09:30:00+05:30,2026-07-17 09:30:00+05:30,2026-07-17 10:25:00+05:30,57857.9505625,58123.9010625,57639.0495,58139.80078125,265.9505,531.901,-8455.51,-281.85,30,0.0,0.0,-8455.51,LOSS,BULLISH,NARROW,DESCENDING,False,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,AMBIGUOUS
BANKNIFTY,2026-07-20,PIVOT_BOUNCE,LONG,2026-07-20 09:15:00+05:30,2026-07-20 09:15:00+05:30,2026-07-20 15:15:00+05:30,57643.55078125,57184.46874375,58239.5664,57950.94921875,459.082,918.1641,9221.95,307.4,30,0.0,0.0,9221.95,WIN,BEARISH,WIDE,ASCENDING,False,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,SESSION_CLOSE
BANKNIFTY,2026-07-21,PIVOT_BOUNCE,SHORT,2026-07-21 09:15:00+05:30,2026-07-21 09:15:00+05:30,2026-07-21 10:50:00+05:30,58210.90103750001,58456.45051875,57872.0013,57872.0013,245.5495,491.099,10166.99,338.9,30,0.0,0.0,10166.99,WIN,BEARISH,NORMAL,DESCENDING,False,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,AMBIGUOUS
BANKNIFTY,2026-07-22,PIVOT_BOUNCE,LONG,2026-07-22 09:15:00+05:30,2026-07-22 09:15:00+05:30,2026-07-22 09:20:00+05:30,57672.8332375,57518.06505625,57949.7174,57425.3515625,154.7682,309.5364,-7424.45,-247.48,30,0.0,0.0,-7424.45,LOSS,BEARISH,NORMAL,ASCENDING,False,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,STOP
BANKNIFTY,2026-07-23,PIVOT_BOUNCE,LONG,2026-07-23 09:15:00+05:30,2026-07-23 09:15:00+05:30,2026-07-23 12:30:00+05:30,56801.21738125,56470.3333,57292.8333,56466.30078125,330.8841,661.7682,-10047.5,-334.92,30,0.0,0.0,-10047.5,LOSS,BEARISH,NORMAL,DESCENDING,True,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,STOP
BANKNIFTY,2026-07-24,PIVOT_BOUNCE,LONG,2026-07-24 09:15:00+05:30,2026-07-24 09:15:00+05:30,2026-07-24 09:45:00+05:30,56215.5,56060.7161,56621.2161,56059.8984375,154.7839,309.5678,-4668.05,-155.6,30,0.0,0.0,-4668.05,LOSS,BEARISH,NARROW,DESCENDING,True,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,STOP
BANKNIFTY,2026-07-27,PIVOT_BOUNCE,SHORT,2026-07-27 09:15:00+05:30,2026-07-27 09:15:00+05:30,2026-07-27 15:15:00+05:30,57116.80078125,57345.2682625,56540.6667,57091.8515625,228.4675,456.935,748.48,24.95,30,0.0,0.0,748.48,WIN,BULLISH,WIDE,DESCENDING,False,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,SESSION_CLOSE
BANKNIFTY,2026-07-28,PIVOT_BOUNCE,LONG,2026-07-28 09:15:00+05:30,2026-07-28 09:15:00+05:30,2026-07-28 15:00:00+05:30,56904.8515625,56714.64715625,57124.7995,56692.75,190.2044,380.4088,-6363.05,-212.1,30,0.0,0.0,-6363.05,LOSS,BEARISH,NARROW,ASCENDING,True,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,STOP
BANKNIFTY,2026-07-29,PIVOT_BOUNCE,SHORT,2026-07-29 09:15:00+05:30,2026-07-29 09:15:00+05:30,2026-07-29 12:05:00+05:30,57133.3515625,57203.51561875,56814.3164,57257.80078125,70.1641,140.3281,-3733.48,-124.45,30,0.0,0.0,-3733.48,LOSS,BULLISH,NORMAL,DESCENDING,True,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,AMBIGUOUS
BANKNIFTY,2026-07-30,PIVOT_BOUNCE,LONG,2026-07-30 09:15:00+05:30,2026-07-30 09:15:00+05:30,2026-07-30 15:05:00+05:30,56983.750037499995,56763.89845625,57149.5508,57149.5508,219.8516,439.7032,4974.02,165.8,30,0.0,0.0,4974.02,WIN,BEARISH,NARROW,ASCENDING,True,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,TARGET
BANKNIFTY,2026-07-31,PIVOT_BOUNCE,SHORT,2026-07-31 09:15:00+05:30,2026-07-31 09:15:00+05:30,2026-07-31 15:15:00+05:30,57303.3983625,57513.8984,57036.1484,57256.8515625,210.5,421.0001,1396.4,46.55,30,0.0,0.0,1396.4,WIN,BULLISH,NARROW,DESCENDING,False,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,SESSION_CLOSE
BANKNIFTY,2026-08-04,PIVOT_BOUNCE,LONG,2026-08-04 09:15:00+05:30,2026-08-04 09:15:00+05:30,2026-08-04 15:15:00+05:30,57729.61598125,57201.2826,57988.7826,57492.75,528.3334,1056.6668,-7105.98,-236.87,30,0.0,0.0,-7105.98,LOSS,BEARISH,WIDE,ASCENDING,True,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,SESSION_CLOSE
BANKNIFTY,2026-08-05,PIVOT_BOUNCE,LONG,2026-08-05 13:25:00+05:30,2026-08-05 13:25:00+05:30,2026-08-05 15:15:00+05:30,57493.682362499996,57070.1654,57766.1654,57629.75,423.517,847.0339,4082.03,136.07,30,0.0,0.0,4082.03,WIN,BEARISH,NORMAL,DESCENDING,False,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,SESSION_CLOSE
BANKNIFTY,2026-08-06,PIVOT_BOUNCE,SHORT,2026-08-06 12:15:00+05:30,2026-08-06 12:15:00+05:30,2026-08-06 15:15:00+05:30,57960.74861875,58191.5481375,57708.8997,58007.94921875,230.7995,461.599,-1416.02,-47.2,30,0.0,0.0,-1416.02,LOSS,BULLISH,NARROW,DESCENDING,False,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,SESSION_CLOSE
BANKNIFTY,2026-08-07,PIVOT_BOUNCE,LONG,2026-08-07 09:15:00+05:30,2026-08-07 09:15:00+05:30,2026-08-07 09:50:00+05:30,57828.1640375,57582.679675,57952.3828,57952.3828,245.4844,490.9687,3726.56,124.22,30,0.0,0.0,3726.56,WIN,BEARISH,NORMAL,ASCENDING,False,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,TARGET
BANKNIFTY,2026-08-10,PIVOT_BOUNCE,SHORT,2026-08-10 09:15:00+05:30,2026-08-10 09:15:00+05:30,2026-08-10 09:25:00+05:30,57930.69921875,58124.94921875,57809.5,57809.5,194.25,388.5,3635.98,121.2,30,0.0,0.0,3635.98,WIN,BULLISH,NARROW,DESCENDING,False,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,AMBIGUOUS
