instrument,session_date,strategy,direction,signal_timestamp,entry_timestamp,exit_timestamp,entry_price,stop_price,target_price,exit_price,risk_points,reward_points,gross_pnl,points,lot_size,costs,slippage,net_pnl,result,gap_direction,cpr_classification,ladder,virgin_cpr,all_qualifying_strategies,selection_reason,exit_reason
NIFTY,2026-07-07,PIVOT_BOUNCE,SHORT,2026-07-07 10:10:00+05:30,2026-07-07 10:10:00+05:30,2026-07-07 15:10:00+05:30,24491.31641875,24568.88281875,24390.6836,24390.6836,77.5664,155.1328,6541.13,100.63,65,0.0,0.0,6541.13,WIN,NEUTRAL,NARROW,NEUTRAL,False,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,AMBIGUOUS
NIFTY,2026-07-08,PIVOT_BOUNCE,LONG,2026-07-08 09:15:00+05:30,2026-07-08 09:15:00+05:30,2026-07-08 09:30:00+05:30,24259.55078125,24220.90038125,24411.5996,24215.44921875,38.6504,77.3008,-2866.6,-44.1,65,0.0,0.0,-2866.6,LOSS,BEARISH,NORMAL,ASCENDING,False,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,STOP
NIFTY,2026-07-10,PIVOT_BOUNCE,SHORT,2026-07-10 09:15:00+05:30,2026-07-10 09:15:00+05:30,2026-07-10 15:15:00+05:30,24125.05078125,24230.6999,24013.9499,24203.900390625,105.6491,211.2982,-5125.22,-78.85,65,0.0,0.0,-5125.22,LOSS,BULLISH,NARROW,NEUTRAL,False,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,SESSION_CLOSE
NIFTY,2026-07-14,PIVOT_BOUNCE,LONG,2026-07-14 09:15:00+05:30,2026-07-14 09:15:00+05:30,2026-07-14 09:25:00+05:30,24053.082609375,23887.56571875,24156.3665,24156.3665,165.5169,331.0338,6713.45,103.28,65,0.0,0.0,6713.45,WIN,BEARISH,NORMAL,DESCENDING,False,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,TARGET
NIFTY,2026-07-15,PIVOT_BOUNCE,SHORT,2026-07-15 09:15:00+05:30,2026-07-15 09:15:00+05:30,2026-07-15 09:30:00+05:30,24119.733809375,24214.3171,24071.8171,24217.849609375,94.5833,189.1666,-6377.53,-98.12,65,0.0,0.0,-6377.53,LOSS,NEUTRAL,NORMAL,DESCENDING,False,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,AMBIGUOUS
NIFTY,2026-07-17,PIVOT_BOUNCE,SHORT,2026-07-17 09:15:00+05:30,2026-07-17 09:15:00+05:30,2026-07-17 10:15:00+05:30,24161.249981250003,24251.40038125,24105.8496,24278.94921875,90.1504,180.3008,-7650.45,-117.7,65,0.0,0.0,-7650.45,LOSS,NEUTRAL,NARROW,ASCENDING,False,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,AMBIGUOUS
NIFTY,2026-07-20,PIVOT_BOUNCE,LONG,2026-07-20 09:15:00+05:30,2026-07-20 09:15:00+05:30,2026-07-20 15:15:00+05:30,24173.983809375,23994.3171,24270.5671,24239.25,179.6667,359.3334,4242.3,65.27,65,0.0,0.0,4242.3,WIN,BEARISH,WIDE,ASCENDING,False,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,SESSION_CLOSE
NIFTY,2026-07-21,PIVOT_BOUNCE,LONG,2026-07-21 11:40:00+05:30,2026-07-21 11:40:00+05:30,2026-07-21 15:15:00+05:30,24161.983018749997,24074.46611875,24213.7669,24185.80078125,87.5169,175.0338,1548.15,23.82,65,0.0,0.0,1548.15,WIN,NEUTRAL,NARROW,DESCENDING,False,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,SESSION_CLOSE
NIFTY,2026-07-22,PIVOT_BOUNCE,LONG,2026-07-22 09:15:00+05:30,2026-07-22 09:15:00+05:30,2026-07-22 09:25:00+05:30,24132.499981250003,24061.050771875,24197.3496,24047.150390625,71.4492,142.8984,-5547.72,-85.35,65,0.0,0.0,-5547.72,LOSS,NEUTRAL,NARROW,DESCENDING,False,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,STOP
NIFTY,2026-07-23,PIVOT_BOUNCE,LONG,2026-07-23 09:15:00+05:30,2026-07-23 09:15:00+05:30,2026-07-23 13:15:00+05:30,23904.80078125,23826.04951875,24039.1003,23812.0,78.7513,157.5025,-6032.05,-92.8,65,0.0,0.0,-6032.05,LOSS,BEARISH,NORMAL,DESCENDING,True,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,STOP
